"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","countryCode","isAdvertisement","locatedIn","location/lat","location/lng","menu","neighborhood","permanentlyClosed","phone","placeId","plusCode","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"1200 W Washington St, Indianapolis, IN 46222","Tourist attraction","Aquarium","Event venue","Zoo","Wedding venue",,,,,,"Zoo","2029097250141254763","Indianapolis","US","false",,"39.7675746","-86.1796262",,"1200 W Washington St","false","(317) 630-2001","ChIJK1-_KkxXa4gRazRkyTLNKBw","QR9C+24 Indianapolis, Indiana","46222",,"1","16737","11621","3421","354","1040","301","2022-10-18T03:57:32.963Z","https://www.google.com/maps/search/tourist%20attractions%20in%20indianapolis?hl=en","tourist attractions in indianapolis","Indiana","1200 W Washington St",,"false","Indianapolis Zoo","4.5","https://www.google.com/maps/place/Indianapolis+Zoo/@39.7675746,-86.1796262,17z/data=!3m1!4b1!4m5!3m4!1s0x886b574c2abf5f2b:0x1c28cd32c964346b!8m2!3d39.7675746!4d-86.1796262?hl=en","http://www.indianapoliszoo.com/"
"801 W Washington St, Indianapolis, IN 46204","Tourist attraction","Event venue","State park",,,,,,,,"State park","11216188692058629079","Indianapolis","US","false",,"39.7665464","-86.1707858",,"801 W Washington St","false","(317) 233-2434","ChIJZ4y_MrJQa4gR12PogzDop5s","QR8H+JM Indianapolis, Indiana","46204",,"2","4465","3492","778","32","144","19","2022-10-18T03:57:35.289Z","https://www.google.com/maps/search/tourist%20attractions%20in%20indianapolis?hl=en","tourist attractions in indianapolis","Indiana","801 W Washington St",,"false","White River State Park","4.7","https://www.google.com/maps/place/White+River+State+Park/@39.7665464,-86.1707858,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b232bf8c67:0x9ba7e83083e863d7!8m2!3d39.7665464!4d-86.1707858?hl=en","https://www.whiteriverstatepark.org/"
"448 Massachusetts Ave, Indianapolis, IN 46204","Tourist attraction",,,,,,,,,,"Tourist attraction","7600685275847326566","Indianapolis","US","false",,"39.7738325","-86.1509939",,"448 Massachusetts Ave","false",,"ChIJUUp3Ca1Ra4gRZvtr_PwOe2k","QRFX+GJ Indianapolis, Indiana","46204",,"88","0","0","0","0","0","0","2022-10-18T03:58:39.916Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","448 Massachusetts Ave",,"true","Mari Evans mural by ALKEMI",,"https://www.google.com/maps/place/Mari+Evans+mural+by+ALKEMI/@39.7738325,-86.1509939,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51ad09774a51:0x697b0efcfc6bfb66!8m2!3d39.7738325!4d-86.1509939?hl=en",
"1200 W Washington St, Indianapolis, IN 46222","Tourist attraction","Event venue","Garden","Botanical garden","Wedding venue",,,,,,"Botanical garden","13185495446165774531","Indianapolis","US","false","Indianapolis Zoo","39.7662089","-86.1757897",,"1200 W Washington St","false","(317) 630-2001","ChIJK1-_KkxXa4gRw-A9oD9K_LY","QR8F+FM Indianapolis, Indiana","46222",,"87","870","678","143","5","36","8","2022-10-18T03:58:52.473Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","1200 W Washington St",,"true","White River Gardens","4.7","https://www.google.com/maps/place/White+River+Gardens/@39.7662089,-86.1757897,17z/data=!3m1!4b1!4m5!3m4!1s0x886b574c2abf5f2b:0xb6fc4a3fa03de0c3!8m2!3d39.7662089!4d-86.1757897?hl=en","https://www.indianapoliszoo.com/white-river-gardens/"
"640 N Capitol Ave, Indianapolis, IN 46204","Tourist attraction",,,,,,,,,,"Tourist attraction","13630838074338517821","Indianapolis","US","false",,"39.7768505","-86.1621123",,"640 N Capitol Ave","false",,"ChIJhyEd3XRRa4gRPSPRYwJ3Kr0","QRGQ+P5 Indianapolis, Indiana","46204",,"86","0","0","0","0","0","0","2022-10-18T03:59:02.713Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","640 N Capitol Ave",,"true","Caulander lights",,"https://www.google.com/maps/place/Caulander+lights/@39.7768505,-86.1621123,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5174dd1d2187:0xbd2a770263d1233d!8m2!3d39.7768505!4d-86.1621123?hl=en",
"E 10th St, Indianapolis, IN 46201","Tourist attraction","Museum",,,,,,,,,"Museum","11284579817946935661","Indianapolis","US","false",,"39.7812618","-86.1152502",,"E 10th St","false","(239) 293-2148","ChIJ44TKlUdQa4gRbfFEYI7hmpw","QVJM+GV Indianapolis, Indiana","46201",,"85","10","8","1","0","0","1","2022-10-18T03:59:15.396Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","E 10th St",,"true","Indy's Teeny Statue Of Liberty Museum","4.6","https://www.google.com/maps/place/Indy's+Teeny+Statue+Of+Liberty+Museum/@39.7812618,-86.1152502,17z/data=!3m1!4b1!4m5!3m4!1s0x886b504795ca84e3:0x9c9ae18e6044f16d!8m2!3d39.7812571!4d-86.1152501?hl=en",
"13400 Allisonville Rd, Fishers, IN 46038","Tourist attraction",,,,,,,,,,"Tourist attraction","5551236399579951549","Fishers","US","false",,"39.9845164","-86.0287783",,"13400 Allisonville Rd","false","(317) 776-6006","ChIJaQBzDu-zFIgRvXEu_Rf0CU0","XXMC+RF Fishers, Indiana","46038",,"84","2","2","0","0","0","0","2022-10-18T03:59:26.297Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","13400 Allisonville Rd",,"false","Gingerbread Village","5","https://www.google.com/maps/place/Gingerbread+Village/@39.9845164,-86.0287783,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b3ef0e730069:0x4d09f417fd2e71bd!8m2!3d39.9846402!4d-86.0284232?hl=en","http://www.connerprairie.org/"
"125 Monument Cir, Indianapolis, IN 46204","Tourist attraction","Episcopal church",,,,,,,,,"Episcopal church","458085810917702804","Indianapolis","US","false",,"39.7693028","-86.1577278",,"125 Monument Cir","false","(317) 636-4577","ChIJgQv3hL5Qa4gRlHxlNJ5yWwY","QR9R+PW Indianapolis, Indiana","46204",,"83","211","161","27","20","3","0","2022-10-18T03:59:38.276Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","125 Monument Cir",,"false","Christ Church Cathedral","4.5","https://www.google.com/maps/place/Christ+Church+Cathedral/@39.7693028,-86.1577278,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50be84f70b81:0x65b729e34657c94!8m2!3d39.7693028!4d-86.1577278?hl=en","http://www.cccindy.org/"
"201 Chapin St, South Bend, IN 46601","Tourist attraction","National museum","Non-profit organization","Museum",,,,,,,"Museum","18421682842868723730","South Bend","US","false",,"41.6748016","-86.2621037",,"201 Chapin St","false","(574) 235-9714","ChIJEYK3qM4yEYgREjAZfvH2pv8","MPFQ+W5 South Bend, Indiana","46601",,"82","1224","1002","186","8","23","5","2022-10-18T03:59:50.474Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","201 Chapin St",,"false","Studebaker National Museum","4.8","https://www.google.com/maps/place/Studebaker+National+Museum/@41.6748016,-86.2621037,17z/data=!3m1!4b1!4m5!3m4!1s0x881132cea8b78211:0xffa6f6f17e193012!8m2!3d41.6748016!4d-86.2621037?hl=en","http://www.studebakermuseum.org/"
"222 E Market St, Indianapolis, IN 46204","Market","Bar","Barber shop","Bicycle Shop","Candle store","Clothing store","Coffee shop","Florist","Restaurant",,"Market","2590056814221866215","Indianapolis","US","false",,"39.7685789","-86.1534699",,"222 E Market St","false",,"ChIJt7mWA5ZQa4gR5zTGJ_O68SM","QR9W+CJ Indianapolis, Indiana","46204","$$","81","2747","1657","689","86","239","76","2022-10-18T04:00:03.216Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","222 E Market St",,"false","Indianapolis City Market","4.4","https://www.google.com/maps/place/Indianapolis+City+Market/@39.7685789,-86.1534699,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50960396b9b7:0x23f1baf327c634e7!8m2!3d39.7685789!4d-86.1534699?hl=en","http://www.indycm.com/"
