"imageUrls","title","address","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
,"Indianapolis Zoo","1200 W Washington St, Indianapolis, IN 46222","http://www.indianapoliszoo.com/","(317) 630-2001","4.5","1","16737","false","Zoo","tourist attractions in indianapolis","https://www.google.com/maps/place/Indianapolis+Zoo/@39.7675746,-86.1796262,17z/data=!3m1!4b1!4m5!3m4!1s0x886b574c2abf5f2b:0x1c28cd32c964346b!8m2!3d39.7675746!4d-86.1796262?hl=en"
,"White River State Park","801 W Washington St, Indianapolis, IN 46204","https://www.whiteriverstatepark.org/","(317) 233-2434","4.7","2","4465","false","State park","tourist attractions in indianapolis","https://www.google.com/maps/place/White+River+State+Park/@39.7665464,-86.1707858,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b232bf8c67:0x9ba7e83083e863d7!8m2!3d39.7665464!4d-86.1707858?hl=en"
,"Mari Evans mural by ALKEMI","448 Massachusetts Ave, Indianapolis, IN 46204",,,,"88","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Mari+Evans+mural+by+ALKEMI/@39.7738325,-86.1509939,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51ad09774a51:0x697b0efcfc6bfb66!8m2!3d39.7738325!4d-86.1509939?hl=en"
,"White River Gardens","1200 W Washington St, Indianapolis, IN 46222","https://www.indianapoliszoo.com/white-river-gardens/","(317) 630-2001","4.7","87","870","false","Botanical garden","tourist attractions in indianapolis","https://www.google.com/maps/place/White+River+Gardens/@39.7662089,-86.1757897,17z/data=!3m1!4b1!4m5!3m4!1s0x886b574c2abf5f2b:0xb6fc4a3fa03de0c3!8m2!3d39.7662089!4d-86.1757897?hl=en"
,"Caulander lights","640 N Capitol Ave, Indianapolis, IN 46204",,,,"86","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Caulander+lights/@39.7768505,-86.1621123,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5174dd1d2187:0xbd2a770263d1233d!8m2!3d39.7768505!4d-86.1621123?hl=en"
,"Indy's Teeny Statue Of Liberty Museum","E 10th St, Indianapolis, IN 46201",,"(239) 293-2148","4.6","85","10","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Indy's+Teeny+Statue+Of+Liberty+Museum/@39.7812618,-86.1152502,17z/data=!3m1!4b1!4m5!3m4!1s0x886b504795ca84e3:0x9c9ae18e6044f16d!8m2!3d39.7812571!4d-86.1152501?hl=en"
,"Gingerbread Village","13400 Allisonville Rd, Fishers, IN 46038","http://www.connerprairie.org/","(317) 776-6006","5","84","2","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Gingerbread+Village/@39.9845164,-86.0287783,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b3ef0e730069:0x4d09f417fd2e71bd!8m2!3d39.9846402!4d-86.0284232?hl=en"
,"Christ Church Cathedral","125 Monument Cir, Indianapolis, IN 46204","http://www.cccindy.org/","(317) 636-4577","4.5","83","211","false","Episcopal church","tourist attractions in indianapolis","https://www.google.com/maps/place/Christ+Church+Cathedral/@39.7693028,-86.1577278,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50be84f70b81:0x65b729e34657c94!8m2!3d39.7693028!4d-86.1577278?hl=en"
,"Studebaker National Museum","201 Chapin St, South Bend, IN 46601","http://www.studebakermuseum.org/","(574) 235-9714","4.8","82","1224","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Studebaker+National+Museum/@41.6748016,-86.2621037,17z/data=!3m1!4b1!4m5!3m4!1s0x881132cea8b78211:0xffa6f6f17e193012!8m2!3d41.6748016!4d-86.2621037?hl=en"
,"Indianapolis City Market","222 E Market St, Indianapolis, IN 46204","http://www.indycm.com/",,"4.4","81","2747","false","Market","tourist attractions in indianapolis","https://www.google.com/maps/place/Indianapolis+City+Market/@39.7685789,-86.1534699,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50960396b9b7:0x23f1baf327c634e7!8m2!3d39.7685789!4d-86.1534699?hl=en"
